duration,protocol_type,src_bytes,dst_bytes,flag,label
12,udp,1713,2587,SF,0
16,icmp,1793,154,SF,0
16,udp,1543,1670,SF,0
7,tcp,1109,2212,SF,0
14,tcp,2821,2023,SF,0
12,tcp,2672,498,SF,0
44,tcp,6386,117,REJ,1
54,tcp,6913,297,REJ,1
82,tcp,3709,26,REJ,1
20,icmp,8941,436,S0,1
15,icmp,2283,819,SF,0
16,udp,757,2609,SF,0
6,udp,2765,1153,SF,0
10,tcp,1840,1486,SF,0
59,udp,3277,357,REJ,1
18,tcp,918,2793,SF,0
99,icmp,9671,317,REJ,1
19,icmp,2483,472,SF,0
32,udp,3546,68,S0,1
11,icmp,324,2774,SF,0
18,icmp,1343,983,SF,0
21,icmp,3263,369,REJ,1
3,udp,2373,2299,SF,0
7,icmp,2667,1372,SF,0
37,udp,3720,475,S0,1
57,tcp,4408,212,S0,1
94,tcp,3301,32,S0,1
14,tcp,1952,110,SF,0
71,udp,5589,355,REJ,1
19,tcp,1944,2648,SF,0
70,tcp,9037,167,REJ,1
78,udp,3885,7,S0,1
18,udp,2203,1680,SF,0
65,udp,6272,172,REJ,1
2,udp,1282,1175,SF,0
77,icmp,5650,296,S0,1
84,udp,5745,373,REJ,1
10,udp,2070,2784,SF,0
51,udp,9236,326,REJ,1
3,icmp,2975,508,SF,0
2,icmp,1404,1059,SF,0
39,tcp,8654,142,REJ,1
17,icmp,861,695,SF,0
94,icmp,3362,120,REJ,1
40,tcp,6173,272,REJ,1
4,tcp,2758,407,SF,0
98,tcp,3073,344,REJ,1
79,udp,4929,84,REJ,1
2,udp,2966,1165,SF,0
60,udp,4260,134,S0,1
3,udp,990,530,SF,0
93,tcp,3196,267,REJ,1
6,icmp,2248,106,SF,0
99,tcp,9004,270,S0,1
18,icmp,2557,801,SF,0
29,udp,3597,488,S0,1
27,udp,3792,383,REJ,1
98,icmp,4538,284,REJ,1
4,udp,2710,2200,SF,0
72,udp,6211,125,S0,1
87,icmp,6059,257,REJ,1
13,tcp,564,2043,SF,0
49,icmp,6048,184,REJ,1
23,icmp,3884,0,S0,1
14,icmp,576,1551,SF,0
17,udp,1014,469,SF,0
16,icmp,2070,1565,SF,0
38,udp,4150,279,REJ,1
5,tcp,2082,471,SF,0
85,udp,5949,304,S0,1
8,tcp,1662,530,SF,0
78,udp,3662,68,S0,1
8,tcp,1636,2406,SF,0
18,icmp,191,2933,SF,0
87,tcp,9669,390,REJ,1
7,tcp,346,1877,SF,0
19,icmp,1833,545,SF,0
33,tcp,4810,221,REJ,1
4,udp,2461,1062,SF,0
33,icmp,4248,104,REJ,1
37,tcp,9972,226,REJ,1
43,tcp,5910,443,REJ,1
83,icmp,3906,369,S0,1
81,icmp,4600,464,REJ,1
12,udp,1925,2797,SF,0
4,udp,437,1120,SF,0
18,udp,1597,346,SF,0
95,icmp,8582,386,S0,1
32,tcp,6451,210,REJ,1
17,icmp,1940,1623,SF,0
59,icmp,7548,17,S0,1
17,tcp,1749,2632,SF,0
17,udp,1469,969,SF,0
2,udp,764,2902,SF,0
36,tcp,4563,173,REJ,1
56,udp,4318,134,REJ,1
55,udp,4707,385,S0,1
19,icmp,2812,1184,SF,0
10,tcp,2057,1347,SF,0
9,tcp,2488,1859,SF,0
86,tcp,3924,465,S0,1
81,icmp,4855,190,REJ,1
76,udp,7719,432,REJ,1
20,tcp,1213,350,SF,0
11,icmp,1897,1950,SF,0
19,icmp,2150,356,SF,0
96,udp,9331,139,S0,1
67,udp,4992,6,REJ,1
33,tcp,6202,71,S0,1
42,icmp,7312,446,REJ,1
6,tcp,2626,2668,SF,0
49,tcp,3457,266,REJ,1
45,udp,9848,445,REJ,1
41,icmp,5318,146,REJ,1
50,icmp,9301,491,REJ,1
4,udp,2102,381,SF,0
93,icmp,4130,386,REJ,1
13,icmp,2340,2886,SF,0
7,icmp,1675,2432,SF,0
16,tcp,222,1245,SF,0
78,tcp,3291,409,REJ,1
25,udp,3938,16,S0,1
82,udp,7923,100,S0,1
83,tcp,5403,347,S0,1
22,tcp,9432,46,S0,1
4,tcp,2433,2282,SF,0
16,udp,2278,1429,SF,0
73,tcp,8567,482,REJ,1
15,tcp,733,705,SF,0
11,icmp,1311,2485,SF,0
79,icmp,9616,165,REJ,1
58,icmp,7508,30,S0,1
18,tcp,2588,698,SF,0
11,tcp,2342,2473,SF,0
